Verify_ID,Customer ID,Customer Name,Address,Industrial Sector
1,1 - Financials,Acme Corp,"123 Elm Str, Sprinfgield, IL",Manufacturing
2,2,Globex Corporation,"456 Oakk St, Metropolis, IN",Tech
3,3,Soylent Corporatoin,,
4,,Initech LLC (Limited Liability),"101 Maple Ave, Smallville, KSS",Software
5,5,Bluth Company,,Real Eastate
6,6,Umbrella Corporation,"103 Cedr St, Sunnydale, CA",Pharmaceuticals
7,7,Hooli Incoporated,,Technology
8,8 - Ticklers,Vehement Capital,"105 Spruce St, Vice City, Florida",
9,9,Massive Dynamic,,Biotech
10,10,Wonka Industrries,"107 Steel St, South Park, C0",
11,11,Stark Industries,"108 Silver Rd, Central City, MO",Advanced Technology
12,,Wayne Enterprisses,"109 Goold St, Emerald City, MI",Conglomerate
13,13,Duff Brewing Co (Company),,Beverages
14,14,Gekko and Company,"111 Zink St, Springfield, VT",Finance
15,15,Vandelay Industtries,"112 Quartz St, Quahog, RR",Latex Manufacturing
16,,Kwik-E-Mart,,Retail
17,17,Reynholm Industires,"114 Nickell St, Charming, CA",
18,18,Kruger Industrial,"115 Tinn St, Eureka, NV",Smelting
19,19,Strickland Propanne,"116 Leadd St, Neptune, CA",Propane and Propane Accessories
20,20 - Paid off,Gringotts Bank,,Banking
21,21,Oscorp Incorporated,,Chemicals
22,,Choam SA (Sociedad Anonima),"119 Diamnod St, Pandora, AZ",Trade
23,23,Sirius Cybernetics,"120 Grphite St, Bon Temps, Lousiana",
24,24,Harlington-Straker Studios,"121 Silicon St, Silent Hill, MEE",Film Studio
25,25,Nakatomi Trading LLC,"122 Boroon St, Cabot Cove, ME",Import/Export
26,,Tyrell Corporation,,Biotech
27,27,Cyberdyne Systems Ltd,Nevada,Defense
28,,Planet Exprress,"125 Helium St, New New York, NY",Delivery Servicess
29,29,Soylent Corporation,"126 Lithum St, Twin Peaks, WA",Food Production
30,30,Pierce and Pierce,,Investment Banking
31,,Google Incorporated,,Technology
32,,Apple Incorporated,"1 Apple Perk Way, Cupertino, CA",
33,33,Microsoft Corporatoin,"One Microsoft Wayy, Redmond, WA",Technology
34,34,"Amazon.com, Incorporated","410 Terry Avenue N, Seatttle, Washington",E-commece
35,,"Facebook, Incorporated",,Social Media
36,36,"Tesla, Incorporated","3500 Deer Creek Road, Palo Altoo, CA",Automotive
37,37,Berkshire Hathaway Incorporated,"3555 Farnamm St, Omaha, NE",Conglomerate
38,,Visa Incorporated,"900 Metro Cnter Blvd, Foster City, CA",Financial Servces
39,,Johnson and Johnson,"One Johnson & Johson Plaza, New Brunswick, NJ",Pharmaceuticals
40,40,Samsung Electronics (Aktiengesellschaft),,
41,,ExxonMobil Corporatoin,"5959 Las Colinas Bvld, Irving, TX",Petroleum
42,42,Walmart Incorporated,"702 SW 8th St, Bentonvile, AR",Retail
43,43 No tickelrs,Pfizer Incorporated,"235 East 42nd Street, New Yorrk, NY",Pharmaceuticals
44,44,Chevron Corporation,,Oil and Gas
45,,Coca-Cola Company,"1 Coca Cola Palza, Atlanta, GA",Beverages
46,46,Toyota Motor Corporation,,
47,47,Daimler AG (Aktiengesellschaft),"Mercedesstrasse 120, Stuttgrt, Germany",Automtive
48,48,Intel Corporation,"2200 Mission Cllge Blvd, Sata Clara, California",Semiconductors
49,,Verizon Communicatons,"1095 Avnue of the Americas, New York, NY",Telecommunications
50,,Boeing Company,"Chicago, Illinoins",Aerospace and Defense
51,51,Oracle Corporration,,
52,52 Paid off 06/2023,"Nike, Incorporated","One Bowrman Drive, Beaverton, OR",Apparel
53,,Sony Corporation,"1-7-1 Konan, Minato-kuu, Tokyo, Japan",Electronics
54,,LG Electronics Incorporated,"20 Yeouido-dong, Yeongdeungpo-g, Seoul, South Korea",Electronics
55,55,Royal Dutch Shell Public Limited Company,,
56,,BP Public Limited Company,,Oil and Gas
57,57,General Electric Company,"5 Neco St, Boston, MA",Conglomerate
58,58,Honeywell International,"300 Soth Tryon Street, Charlotte, NC",
59,,Citigroup Incorporated,,Financial Services
60,60,American Express Company,"200 Vesey Str, New York, NY",Financial Services
61,61,Petrobras Sociedad Anonima,"Avenida Republica do Chille, 65, Rio de Janeiro, Brazil",Oil and Gas
62,62,America Movil,,Telecommmunications
63,63 - 2025/10/1,Vale Sociedad Anonima,"Praia de Botafgogo, 186, Rio de Janeiro, Brazil",Mining
64,,Itau Unibanco Holding,"Praca Alfredo Egydioo de Souza Aranha, 100, Sao Paulo, Brazil",Banking
65,,MercadoLibre,,E-commerce
66,66,Grupo Bimbo,"Prolongacion Pseo de la Reforma 1000, Mexico City, Mexico",Food Processing
67,,Bancolombia S.A. (Sociedad Anonima),"Carrera 48 # 26-85, Medellin, Colobia",Financial Services
68,68,Grupo Mexico,,Conglomarate
69,69,Embraer Sociedad Anonima,"Av. Brig. Faria Lima, 2170, Sao Jose dos Campso, Brazil",Aerospace and Defense
70,70  PB,Cemex,,Construction
71,,LATAM Airlines Group,"Av. Americo Vespucio 901, Renca, Satiago, Chile",Aviation
72,,Grupo Falabella,"Rosas 1665, Santiagio, Chile",Retail
73,73,Tenaris,,Manufacturing
74,,Ultrapar Participacoes Sociedad Anonima,"Rua Gomes de Carvlho, 1336, Sao Paulo, Brazil",
75,,Grupo Carso,"Lago Zrich 245, Plaza Carso, Mexico City, Mexico",Conglomerate
76,76,Grupo Argos,"Carrera 43A #1A Sur - 143, Medllin, Colombia",Cement and Energy
77,77 - Tranfered t o HQ,S.A.C.I. Falabella,,Retail
78,,Arcos Dorados Holdings Incorporated,"Dr. Luis Bonavta 1294, Montevideo, Uruguay",Fast Food
79,79 Brazil,JBS Sociedad Anonima,"Avenida Marginal Diret do Tiete, 500, Sao Paulo, Brazil",
80,80,Grupo Aeroportuario del Pacifico,"Mariano Otero 1249, Guadalajra, Mexico",Aviation
81,81,Copel,,Energy
82,,Braskem,"Rua Lemos Montiero, 120, Sao Paulo, Brazil",Petrochemicals
83,83,Grupo Antofagasta Minerals,,Mining
84,,Ecopetrol,"Calle 37 #8-43, Bogta, Colombia",Oil and Gas
85,85,Banco do Brasil,,Banking
86,86,Odebrecht Construction,"Av. das Nacoes Unids, 8501, Sao Paulo, Brazil",Construction
87,87,YPF (Yacimientos Petroliferos Fiscales),"Macacha Guems 515, Buenos Aires, Argentina",Oil and Gas
88,,Marfrig Glboal Foods,,Food Processing
89,89,Grupo Nutresa,"Calle 73 #51-14, Medelin, Colombia",
90,90,SQM (Sociedad Quimica y Minera de Chile),"El Trovador 4285, Las Condess, Santiago, Chile",Chemiacals
91,91,Petrobras Sociedad Anonima,,Oil and Gas
92,,Vale Sociedad Anonima,"Praia de Botafgo, 186, Rio de Janeiro, Brazil",Mining
93,93,America Movil Holdings,"Lago Zurich 245, Plaza Crso, Mexico City, Mexico",Telecommunications
94,94,Itau Unibanco Holding SA (Sociedad Anonima),,Banknig
95,,Grupo Mexmining,"Campos Eliseos 400, Lomas de Chapultepec, Mexico Ciy, Mexico",
96,96,Banco Bradesco Sociedad Anonima,,Bank
97,,Banco Santander Brasil,"Av. Presidente Juscelino Kubitshcek, 2041, Sao Paulo, Brazil",Banking
98,99,Grupo Financiero Banorte,,Banking
99,,Suzano Sociedad Anonima,"Av. Professor Magalhaes Nto, 1752, Salvador, Brazil",Pulp and Paper